,日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
0,20181130,1301,極洋,市場第一部（内国株）,50,水産・農林業,1,食品 ,7,TOPIX Small 2
21,20181130,1332,日本水産,市場第一部（内国株）,50,水産・農林業,1,食品 ,4,TOPIX Mid400
22,20181130,1333,マルハニチロ,市場第一部（内国株）,50,水産・農林業,1,食品 ,4,TOPIX Mid400
29,20181130,1352,ホウスイ,市場第一部（内国株）,6050,卸売業,13,商社・卸売 ,7,TOPIX Small 2
40,20181130,1376,カネコ種苗,市場第一部（内国株）,50,水産・農林業,1,食品 ,7,TOPIX Small 2
41,20181130,1377,サカタのタネ,市場第一部（内国株）,50,水産・農林業,1,食品 ,6,TOPIX Small 1
42,20181130,1379,ホクト,市場第一部（内国株）,50,水産・農林業,1,食品 ,6,TOPIX Small 1
47,20181130,1384,ホクリヨウ,市場第一部（内国株）,50,水産・農林業,1,食品 ,7,TOPIX Small 2
64,20181130,1413,ヒノキヤグループ,市場第一部（内国株）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2
65,20181130,1414,ショーボンドホールディングス,市場第一部（内国株）,2050,建設業,3,建設・資材 ,6,TOPIX Small 1
66,20181130,1417,ミライト・ホールディングス,市場第一部（内国株）,2050,建設業,3,建設・資材 ,6,TOPIX Small 1
68,20181130,1419,タマホーム,市場第一部（内国株）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2
69,20181130,1420,サンヨーホームズ,市場第一部（内国株）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2
70,20181130,1429,日本アクア,市場第一部（内国株）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2
71,20181130,1430,ファーストコーポレーション,市場第一部（内国株）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2
73,20181130,1433,ベステラ,市場第一部（内国株）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2
75,20181130,1435,ＴＡＴＥＲＵ,市場第一部（内国株）,2050,建設業,3,建設・資材 ,6,TOPIX Small 1
84,20181130,1448,スペースバリューホールディングス,市場第一部（内国株）,2050,建設業,3,建設・資材 ,6,TOPIX Small 1
126,20181130,1514,住石ホールディングス,市場第一部（内国株）,1050,鉱業,2,エネルギー資源 ,7,TOPIX Small 2
127,20181130,1515,日鉄鉱業,市場第一部（内国株）,1050,鉱業,2,エネルギー資源 ,7,TOPIX Small 2
128,20181130,1518,三井松島ホールディングス,市場第一部（内国株）,1050,鉱業,2,エネルギー資源 ,7,TOPIX Small 2
